p_ball,p_foul,p_pitchout,p_total_strike
761,359,1,1348
301,145,0,477
285,147,0,499
931,494,0,1773
191,71,0,307
891,527,0,1870
397,126,1,592
90,55,0,157
47,25,0,85
236,110,0,427
755,450,0,1612
361,199,1,656
329,166,0,589
54,33,0,103
514,247,0,872
195,62,0,305
70,39,0,151
70,39,0,151
35,13,0,62
161,95,0,311
83,26,0,141
510,258,0,896
344,171,0,607
370,174,0,614
188,111,0,363
353,170,0,544
236,116,0,386
285,158,0,597
236,143,0,504
1023,466,0,1794
516,289,0,877
407,195,1,727
232,105,0,440
160,77,0,296
283,162,0,510
227,179,0,519
185,86,0,310
295,208,0,584
150,83,0,288
698,398,2,1336
79,39,0,130
67,42,0,131
421,208,0,719
169,76,0,299
318,160,0,548
371,179,0,658
528,273,0,899
62,24,0,84
210,60,0,277
285,123,0,499
398,169,0,684
144,84,1,278
378,215,0,701
44,24,0,82
56,25,0,106
92,51,1,161
157,74,0,270
144,73,0,294
111,47,0,169
409,262,1,823
373,161,0,640
321,148,0,536
853,463,0,1755
394,198,0,681
656,365,0,1347
332,166,1,636
232,71,0,381
365,166,0,611
47,23,0,65
730,376,0,1474
822,399,0,1558
113,67,0,213
316,157,0,717
428,160,0,712
147,85,0,261
779,286,0,1084
160,78,0,330
318,174,0,577
195,87,0,362
212,108,0,405
310,136,0,561
99,55,0,190
62,17,0,91
666,436,0,1458
207,103,0,383
71,18,0,116
272,138,0,549
151,95,0,327
137,77,0,305
386,177,0,740
42,15,0,78
176,117,0,392
533,342,0,1194
413,276,1,894
398,200,0,768
553,300,0,973
273,141,0,531
446,271,0,894
381,258,0,808
543,216,0,977
382,213,2,723
275,110,0,430
184,55,0,276
137,80,0,272
825,424,0,1571
705,376,0,1392
252,102,0,360
109,59,0,213
253,145,0,458
44,19,0,64
228,151,0,564
241,106,0,350
133,87,0,272
680,249,0,1062
122,78,0,212
70,21,0,92
801,432,0,1652
885,381,0,1537
263,121,0,456
219,99,0,361
798,430,1,1529
396,186,0,738
143,56,0,247
115,90,0,256
91,52,0,193
86,35,0,128
194,79,0,300
86,47,0,132
305,124,0,504
44,12,0,78
91,32,0,150
262,117,0,516
458,185,0,791
110,60,0,194
38,16,0,57
395,210,0,787
290,168,0,558
368,148,0,651
184,109,0,391
1096,583,0,1774
79,44,0,160
141,89,0,269
165,78,1,291
819,389,0,1588
338,192,0,633
1132,537,0,2061
949,488,0,1837
64,39,0,129
429,240,0,909
240,94,0,382
80,39,0,124
409,216,0,682
73,23,0,122
118,41,0,179
54,29,0,120
995,436,1,1863
211,137,0,545
1182,497,0,1954
238,104,0,476
224,99,0,395
452,210,0,735
455,202,1,768
218,104,0,383
51,21,0,81
124,61,0,213
144,58,0,239
410,238,1,858
208,97,0,343
917,486,0,1815
187,67,0,286
1009,519,0,1809
323,171,0,620
556,263,0,993
636,273,0,1194
547,282,0,1215
307,159,0,539
73,42,0,161
62,25,0,95
214,89,0,345
237,144,0,424
199,119,0,350
40,19,0,67
77,35,0,111
926,551,0,1893
263,105,0,447
432,157,0,718
337,204,0,793
378,210,0,781
199,87,0,294
1024,392,1,1713
167,105,0,318
250,120,0,439
223,115,2,424
480,280,0,884
57,19,0,81
50,37,0,105
546,229,0,950
127,60,0,236
70,29,0,127
406,193,0,815
329,169,0,644
390,163,0,707
767,374,0,1411
253,136,0,462
65,29,0,84
